"year","number","name","seasonal.status","Municipality","total_docks","station.id","n_institutions_1km","n_mbta_1km","Lat","Long","population","month","avg_TMIN","avg_TMAX","avg_precip","total_trips","membership_total"
2020,"A32000","Fan Pier","Year Round","Boston",15,7,0,21,42.35339051,-71.0445714,675466,6,60.6,77.8,0.09,116,62
2020,"A32000","Fan Pier","Year Round","Boston",15,7,0,21,42.35339051,-71.0445714,675466,7,67.8,82.8,0.06,116,62
2020,"A32000","Fan Pier","Year Round","Boston",15,7,0,21,42.35339051,-71.0445714,675466,8,66.3,81.9,0.07,116,62
2020,"A32000","Fan Pier","Year Round","Boston",15,7,0,21,42.35339051,-71.0445714,675466,9,57.3,73.8,0.03,116,62
2020,"A32001","Union Square - Brighton Ave at Cambridge St","Year Round","Boston",19,8,0,11,42.353334,-71.137313,675466,6,60.6,77.8,0.09,179,118
2020,"A32001","Union Square - Brighton Ave at Cambridge St","Year Round","Boston",19,8,0,11,42.353334,-71.137313,675466,7,67.8,82.8,0.06,179,118
2020,"A32001","Union Square - Brighton Ave at Cambridge St","Year Round","Boston",19,8,0,11,42.353334,-71.137313,675466,8,66.3,81.9,0.07,179,118
2020,"A32001","Union Square - Brighton Ave at Cambridge St","Year Round","Boston",19,8,0,11,42.353334,-71.137313,675466,9,57.3,73.8,0.03,179,118
2020,"A32002","Commonwealth Ave at Agganis Way","Year Round","Boston",15,9,1,11,42.35169202,-71.11903489,675466,6,60.6,77.8,0.09,223,153
2020,"A32002","Commonwealth Ave at Agganis Way","Year Round","Boston",15,9,1,11,42.35169202,-71.11903489,675466,7,67.8,82.8,0.06,223,153
2020,"A32002","Commonwealth Ave at Agganis Way","Year Round","Boston",15,9,1,11,42.35169202,-71.11903489,675466,8,66.3,81.9,0.07,223,153
2020,"A32002","Commonwealth Ave at Agganis Way","Year Round","Boston",15,9,1,11,42.35169202,-71.11903489,675466,9,57.3,73.8,0.03,223,153
2020,"A32003","B.U. Central - 725 Comm. Ave.","Year Round","Boston",11,10,1,16,42.350406,-71.108279,675466,6,60.6,77.8,0.09,161,111
2020,"A32003","B.U. Central - 725 Comm. Ave.","Year Round","Boston",11,10,1,16,42.350406,-71.108279,675466,7,67.8,82.8,0.06,161,111
2020,"A32003","B.U. Central - 725 Comm. Ave.","Year Round","Boston",11,10,1,16,42.350406,-71.108279,675466,8,66.3,81.9,0.07,161,111
2020,"A32003","B.U. Central - 725 Comm. Ave.","Year Round","Boston",11,10,1,16,42.350406,-71.108279,675466,9,57.3,73.8,0.03,161,111
2020,"A32004","Longwood Ave at Binney St","Year Round","Boston",15,11,5,14,42.338629,-71.1065,675466,6,60.6,77.8,0.09,408,355
2020,"A32004","Longwood Ave at Binney St","Year Round","Boston",15,11,5,14,42.338629,-71.1065,675466,7,67.8,82.8,0.06,408,355
2020,"A32004","Longwood Ave at Binney St","Year Round","Boston",15,11,5,14,42.338629,-71.1065,675466,8,66.3,81.9,0.07,408,355
